Date/Time,Month,Hour,kWh
2025-04-07,Apr2025,1,2.61
2025-03-21,Mar2025,1,1.42
2025-02-01,Feb2025,1,1.46
2025-01-23,Jan2025,1,1.88
2024-12-14,Dec2024,1,2.36
2024-11-07,Nov2024,1,1.75
2024-10-30,Oct2024,1,2.62
2024-09-14,Sep2024,1,0.25
2024-08-02,Aug2024,1,2.26
2024-08-08,Aug2024,1,2.26
2024-07-05,Jul2024,1,2.29
2024-06-18,Jun2024,1,2.23
2024-05-22,May2024,1,2.42
2025-04-14,Apr2025,2,0.7
2025-03-01,Mar2025,2,2.66
2025-02-27,Feb2025,2,0.66
2025-01-23,Jan2025,2,1.98
2024-12-31,Dec2024,2,3.1
2024-11-27,Nov2024,2,2.05
2024-10-29,Oct2024,2,2.8
2024-09-14,Sep2024,2,0.22
2024-08-02,Aug2024,2,2.25
2024-08-04,Aug2024,2,2.25
2024-07-05,Jul2024,2,2.27
2024-06-21,Jun2024,2,2.22
2024-05-23,May2024,2,2.23
2025-04-08,Apr2025,3,1.35
2025-03-01,Mar2025,3,0.72
2025-02-27,Feb2025,3,1.06
2025-01-23,Jan2025,3,1.58
2024-12-24,Dec2024,3,1.3
2024-11-27,Nov2024,3,2.37
2024-10-31,Oct2024,3,2.0
2024-09-01,Sep2024,3,0.2
2024-09-05,Sep2024,3,0.2
2024-09-06,Sep2024,3,0.2
2024-09-08,Sep2024,3,0.2
2024-09-14,Sep2024,3,0.2
2024-09-16,Sep2024,3,0.2
2024-09-18,Sep2024,3,0.2
2024-09-29,Sep2024,3,0.2
2024-09-30,Sep2024,3,0.2
2024-08-02,Aug2024,3,2.22
2024-07-10,Jul2024,3,2.25
2024-06-19,Jun2024,3,2.22
2024-05-22,May2024,3,2.17
2025-04-08,Apr2025,4,0.48
2025-03-21,Mar2025,4,0.42
2025-02-17,Feb2025,4,0.5
2025-01-10,Jan2025,4,0.46
2024-12-24,Dec2024,4,2.12
2024-11-01,Nov2024,4,0.9
2024-11-18,Nov2024,4,0.9
2024-10-14,Oct2024,4,1.67
2024-09-02,Sep2024,4,0.2
2024-09-03,Sep2024,4,0.2
2024-09-17,Sep2024,4,0.2
2024-09-20,Sep2024,4,0.2
2024-09-22,Sep2024,4,0.2
2024-09-28,Sep2024,4,0.2
2024-08-02,Aug2024,4,2.23
2024-07-29,Jul2024,4,2.11
2024-06-01,Jun2024,4,1.93
2024-05-23,May2024,4,1.05
2025-04-08,Apr2025,5,0.47
2025-03-23,Mar2025,5,0.4
2025-02-03,Feb2025,5,0.48
2025-01-02,Jan2025,5,0.48
2025-01-14,Jan2025,5,0.48
2025-01-22,Jan2025,5,0.48
2024-12-24,Dec2024,5,0.96
2024-11-18,Nov2024,5,1.28
2024-10-14,Oct2024,5,1.31
2024-09-01,Sep2024,5,0.21
2024-08-02,Aug2024,5,1.49
2024-07-08,Jul2024,5,1.11
2024-06-21,Jun2024,5,1.25
2024-05-21,May2024,5,1.42
2025-04-06,Apr2025,6,0.39
2025-04-08,Apr2025,6,0.39
2025-03-04,Mar2025,6,0.49
2025-02-10,Feb2025,6,0.5
2025-01-02,Jan2025,6,1.58
2024-12-04,Dec2024,6,1.57
2024-11-22,Nov2024,6,0.58
2024-10-29,Oct2024,6,0.67
2024-09-02,Sep2024,6,0.2
2024-09-05,Sep2024,6,0.2
2024-09-07,Sep2024,6,0.2
2024-09-09,Sep2024,6,0.2
2024-09-14,Sep2024,6,0.2
2024-09-17,Sep2024,6,0.2
2024-09-18,Sep2024,6,0.2
2024-09-19,Sep2024,6,0.2
2024-09-28,Sep2024,6,0.2
2024-08-04,Aug2024,6,0.28
2024-07-02,Jul2024,6,0.32
2024-06-05,Jun2024,6,0.59
2024-05-17,May2024,6,0.86
2025-04-23,Apr2025,7,0.58
2025-03-25,Mar2025,7,0.63
2025-02-08,Feb2025,7,0.81
2025-01-02,Jan2025,7,1.32
2024-12-04,Dec2024,7,1.64
